0,"PNB to bring down NPAs, ensure high loan recoveries: Atul Kumar Goel","May 12, 2022, Thursday"
1,"SBI hikes bulk deposits rates by 40-90 bps, with immediate effect","May 10, 2022, Tuesday"
2,CSB Bank hopes to double its credit growth annually for next three years,"May 09, 2022, Monday"
3,Rate hike: HDFC Bank raises MCLR by 25 basis points across all tenures,"May 09, 2022, Monday"
4,"Central Bank of India to close 600 branches by March 2023, says report","May 05, 2022, Thursday"
5,Bank credit growth to hit 4-year high of 11-12% in FY23: CRISIL,"April 29, 2022, Friday"
6,ICICI Bank launches India's 'open-for-all' digital ecosystem for MSMEs,"April 28, 2022, Thursday"
7,Fintech platfrom FidyPay partners Yes Bank to push financial inclusion,"April 28, 2022, Thursday"
8,AU Small Finance Bank looking at 30% asset growth for five years,"April 28, 2022, Thursday"
9,RBI may be more open to granting credit card licences to NBFCs: Macquarie,"April 22, 2022, Friday"
10,"Markets open, banks shut: Investors suffered after RBI holiday on Feb 7","April 07, 2022, Thursday"
11,"CARE upgrades rating for YES Bank's tier-II, infra bonds to ""BBB+""","April 07, 2022, Thursday"
12,HDFC giants' merger is a joint-family deal made for a changing India,"April 06, 2022, Wednesday"
13,HDFC Bank-HDFC merger: Regulatory changes for NBFCs proved decisive,"April 06, 2022, Wednesday"
14,Bandhan Bank's overall collection efficiency ratio stands at 96%,"April 05, 2022, Tuesday"
15,Centre asked to see PIL seeking uniform banking code for forex transactions,"April 05, 2022, Tuesday"
16,Gupshup acquires Active.Ai to strengthen customer experience solutions,"April 05, 2022, Tuesday"
17,"Bad loans to decline to 5.6-5.7% level by March 2023, says ICRA","April 05, 2022, Tuesday"
18,YES Bank's loan book expands by 8.8% to Rs 1.81 trillion in FY22,"April 05, 2022, Tuesday"
19,How Axis Bank gains from Citibank: It's about quality of customers,"April 04, 2022, Monday"
20,Shifting Citi,"March 31, 2022, Thursday"
21,"Punjab National Bank plans to raise Rs 12,000 crore through bonds","March 29, 2022, Tuesday"
22,"Centre may seek crypto log on transactions from banks, exchanges","March 24, 2022, Thursday"
23,Banks put in lesser amounts in VRRR auctions ahead of FY22-end,"March 22, 2022, Tuesday"
24,Par panel cautions govt against early euphoria over NPA reduction,"March 22, 2022, Tuesday"
