,Headlines,Date,Sentiment
0,FM Sitharaman on RBI rate hike: Timing a surprise to many … but people thought should’ve been done anyway. ,2022-05-08,[[0.939654   0.00157758 0.05876841]]
1,‘Rate cycle U-turn: RBI may go for more’. ,2022-05-05,[[9.9999130e-01 1.1432373e-06 7.4827230e-06]]
2,"RBI raises CRR by 50 bps to 4.5% from May 21. Full text: RBI Governor Shaktikanta Das’s surprise statement on lending rates, economy, inflation. RBI hikes repo rate: Highlights of Monetary Policy Committee meeting. ",2022-05-04,[[9.9954671e-01 4.1552441e-04 3.7765163e-05]]
3,"HDFC Q4 net rises 16%, record monthly disbursements in March. Neobank Open 100th Indian unicorn; IIFL leads $50-mn funding. ",2022-05-03,[[1.6191807e-06 9.9999833e-01 2.2877439e-08]]
4,"Bank holidays in May 2022: Here is the list of holidays. HDFC hikes rates for existing borrowers, EMIs set to go up. ",2022-05-02,[[9.9998772e-01 6.8683225e-06 5.3801709e-06]]
5,"To plug support package loopholes, Nabard plans farmer distress index. ",2022-04-29,[[9.9999213e-01 5.6305475e-07 7.2760436e-06]]
6,ICICI Bank launches digital ecosystem for MSMEs. ,2022-04-28,[[9.9158704e-01 8.4093073e-03 3.6697272e-06]]
7,"Fixed Deposit (FD) Interest Rates 2022: Here’s what these banks are offering, check here. Five financial habits to become a more disciplined investor in 2022-23. ",2022-04-25,[[1.1481908e-01 8.8515502e-01 2.5873765e-05]]
8,‘Near 100% festive growth in personal loans over 4 years’. ,2022-04-22,[[0.01240634 0.98567075 0.00192289]]
9,HDFC set to sell 10% in HDFC Capital. ,2022-04-21,[[9.9998987e-01 2.6581588e-06 7.4588661e-06]]
10,"Opening current, cash credit/OD accounts: Banks’ scope widened. ",2022-04-20,[[9.9999535e-01 2.3880739e-06 2.2547556e-06]]
11,"Poonawalla Fincorp partners with KrazyBee to enter digital consumption loans space. FM Sitharaman for regulating crypto at global level to check money laundering, terror funding. ",2022-04-19,[[9.999914e-01 4.847522e-07 8.111419e-06]]
