,Headlines,Date
0,"PNB to bring down NPAs, ensure high loan recoveries: Atul Kumar Goel. ",2022-05-12
1,"SBI hikes bulk deposits rates by 40-90 bps, with immediate effect. ",2022-05-10
2,Rate hike: HDFC Bank raises MCLR by 25 basis points across all tenures. CSB Bank hopes to double its credit growth annually for next three years. ,2022-05-09
3,"Central Bank of India to close 600 branches by March 2023, says report. ",2022-05-05
4,Bank credit growth to hit 4-year high of 11-12% in FY23: CRISIL. ,2022-04-29
5,AU Small Finance Bank looking at 30% asset growth for five years. Fintech platfrom FidyPay partners Yes Bank to push financial inclusion. ICICI Bank launches India's 'open-for-all' digital ecosystem for MSMEs. ,2022-04-28
6,RBI may be more open to granting credit card licences to NBFCs: Macquarie. ,2022-04-22
7,"CARE upgrades rating for YES Bank's tier-II, infra bonds to ""BBB+"". Markets open, banks shut: Investors suffered after RBI holiday on Feb 7. ",2022-04-07
8,HDFC Bank-HDFC merger: Regulatory changes for NBFCs proved decisive. HDFC giants' merger is a joint-family deal made for a changing India. ,2022-04-06
9,"YES Bank's loan book expands by 8.8% to Rs 1.81 trillion in FY22. Bad loans to decline to 5.6-5.7% level by March 2023, says ICRA. Gupshup acquires Active.Ai to strengthen customer experience solutions. Centre asked to see PIL seeking uniform banking code for forex transactions. Bandhan Bank's overall collection efficiency ratio stands at 96%. ",2022-04-05
10,How Axis Bank gains from Citibank: It's about quality of customers. ,2022-04-04
11,Shifting Citi. ,2022-03-31
12,"Punjab National Bank plans to raise Rs 12,000 crore through bonds. ",2022-03-29
13,"Centre may seek crypto log on transactions from banks, exchanges. ",2022-03-24
14,Par panel cautions govt against early euphoria over NPA reduction. Banks put in lesser amounts in VRRR auctions ahead of FY22-end. ,2022-03-22
15,PNB board to consider debt raising plan for FY23 on Mar 29. ,2022-03-21
16,"Banking sector is slowly emerging from after-effects of 3 waves of Covid-19. The deadweight of banking fraud in India: What's the weak link?. Small can be more beautiful: Biz model of SFBs may need to be tweaked. How did a five-member external jury select the BS Banker of the Year?. BS SFB round table: 'We have gone through 2 major crises since the birth'. BS CEO round table: Six bank chiefs agree that worst is over for industry. Banks, fintech firms need to collaborate to reach the unserved population. BS Banking Annual: 'It is opportunity NBFCs rather than advantage NBFCs'. Calibrated approach to bank privatisation needed: Industry leaders. RBI will ensure stability in the forex market, says Shaktikanta Das. ",2022-03-17
17,"Recouping lost credit card share to be 'gradual', says HDFC Bank. ",2022-03-15
18,March out of retail: Why are foreign banks clinging to corporate banking?. Ukraine impact: India's private banks may feel the heat from weak macros. ,2022-03-14
19,Moderate asset quality pressure may re-emerge for banks: Fitch. ,2022-03-12
20,"Innovative tech creating unprecedented disruption in banking sector: Khara. Bank loans rose 7.9% YoY in two weeks to Feb 25, deposits up 8.6%: RBI. ",2022-03-11
21,"Canara Bank raises Rs 1,000 cr through Basel-III compliant AT-1 bonds. ",2022-03-04
22,Urban cooperative banks get relief for investing in umbrella organisation. ,2022-03-03
23,Banks concerned as trade settlements with Russia stall in face of sanctions. ,2022-03-02
24,"From banking to sports to vodka, Russia's isolation grows amid Ukraine war. ",2022-03-01
25,ABG Shipyard's debt conversion in bankruptcy case adhered to rules: Banks. ,2022-02-28
26,LIC IPO: Bankers buy time to decide on valuations amid market mayhem. ,2022-02-26
