,Headlines,Date
0,Indian Bank unveils digital broking solution. ,2022-05-07
1,"Federal Bank net profit rises 13% to Rs 541 cr in March quarter. Easing fit and proper norms could push IDBI Bank sale. RBI imposes fine on KKR India Financial Services, Daimler Financial Services. ",2022-05-06
2,"ICICI Bank hikes EBLR rate, interest rates on FDs after RBI repo rate hike; details here  . Central Bank of India to close 13% of its branches: Report. ",2022-05-05
3,"Kotak Mahindra Bank Q4 results: Net profit soars 65% to Rs 2,767 cr. RBI Guv Das announces hike in interest rate by 40 bps to 4.40% in 'off-cycle' MPC meet. Indian economy may take till 2034-35 to overcome COVID-19 losses: RBI. RBI taking inflation, inflationary expectations seriously: Uday Kotak after surprise rate hike. SBI to consider raising up to $2 billion via bonds on May 10. ",2022-05-04
4,Bank of Baroda slashes car loan interest rate to 7%; details here . ,2022-05-03
5,IDBI Bank Q4 net profit rises 35% to Rs 691 cr. Bank of Baroda cuts interest rate on car loans to by 25 bps to 7%. ,2022-05-02
6,IDFC First Bank Q4 Results: Net profit rises two-fold to Rs 343 cr. ,2022-04-30
7,"Bank credit growth to hit 4-year high of 11-12% this fiscal: CRISIL Ratings. 'Economy still dependent on stimulus measures, debt reduction key for growth'. IndusInd Bank Q4: Net profit rises 55% to Rs 1,361 cr, board declares dividend. ",2022-04-29
8,Fintech start-up FidyPay partners Yes Bank to drive financial inclusion. ICICI Bank launches open-for-all digital ecosystem for MSMEs; check details. ,2022-04-28
9,HDFC AMC reports 8.7% rise in PAT to Rs 344 cr. ,2022-04-27
10,HDFC Bank announces highest dividend in over a decade; check details. ,2022-04-24
11,"ICICI Bank Q4 Results: Net profit soars 59% to over Rs 7,000 cr. ",2022-04-23
12,Don't believe RBI behind the curve in terms of interest rates: Keki Mistry. RBI MPC members say addressing inflation risks crucial: Minutes. RBI slaps monetary penalty on Central Bank of India for non-compliance. FinMin urges PSBs to soar up balance sheet; raise capital from market. ,2022-04-22
13,EXCLUSIVE: RBI rejects MobiKwik’s payment aggregator licence; support to crypto exchanges likely reason . RBI orders Urban Co-op Banks to do away with honorary positions within 1 year. ,2022-04-21
14,HDFC Bank revises FD interest rates; Check latest rates here  . ,2022-04-20
15,"SBI hikes MCLR by 10 basis points; home, car loans to be impacted  . SBI raises 3-yr funds of $500 mn via IFSC Gift City branch. RBI imposes fine on Manappuram Finance for violating KYC, PPI norms. ",2022-04-18
16,"HDFC Bank Q4 results: Net profit up 22.8% YoY to over Rs 10,000 crore. ",2022-04-16
17,This private lender seeks shareholders' nod for 10-fold hike in MD & CEO salary. ,2022-04-15
18,PNB nominates Pankaj Sharma as director on its board . ,2022-04-12
19,"Bank of Baroda hikes MCLR across tenors by 0.05 percentage points . Bombay HC puts on hold CCI probe against trustee units of SBI, Axis, IDBI. HDFC Ltd, HDFC Bank chairmen call on FM Sitharaman. ",2022-04-11
20,"RBI imposes monetary penalties on Axis Bank, IDBI Bank; details here. ",2022-04-08
21,"HDFC Bank hikes interest rates; details here. Axis Bank, ADB ink $150 mn partial guarantee pact to support supply chain financing. RBI releases guidelines on establishment of Digital Banking Units. ",2022-04-07
22,"CCI probing debt trustee units of SBI, Axis, IDBI on suspected fee cartel: Report. Rs 50,000 cr loans to be transferred to bad bank by April-end: Union Bank MD. ",2022-04-06
23,"RBI permits Canara Bank to exercise call option of Tier-II bonds. Bank credit growth likely to be at 8.9%-10.2% in FY23: Icra. Bandhan Bank Q4 update: Total advances up 16%, deposits rise 24%. ",2022-04-05
