,Headlines,Date
0,Central Bank of India says not yet decided on branch closures. ,2022-05-08
1,Indian Bank unveils digital broking solution. ,2022-05-07
2,"PM Modi likely to launch 75 digital banks on August 15. IDBI Trust invokes pledged investments in Future Group companies. Banks follow RBI footsteps, start a rate hiking trail. RBI okays merger between Equitas Holding and Equitas Bank. Lenders to get 10-15 bps margin gains from rate hike: Report. PNB hikes lending rate by 40 bps. ",2022-05-06
3,"ASBA-designated bank branches to remain open on Sunday for LIC IPO: Reserve Bank. Central Bank of India to close 13% of its branches. HDFC Bank opens over 1,000 branches during pandemic. RBI's rate hikes to weigh down on banking system credit growth: India Ratings. Bank loans pick up at almost double the pace as last year. ",2022-05-05
4,"RBI rate hike shocker: Home and car loans to get dearer. RBI taking inflation, inflationary expectations seriously: Uday Kotak. RBI CRR hikes to increase overnight rates. ",2022-05-04
5,State-run banks voice concern over new guidelines on frauds. ,2022-05-03
6,Kotak Mahindra bank backed Phoenix ARC set to acquire Bank of India's VVF (India) loan. This Singapore firm helps banks open branches in remote locations for just $150. Benefit of Early Investing. Fino Payments Bank holdco says changes in board composition due to policy decision. RRA recommends withdrawal of 225 more circulars: RBI. Primex Finance: Dismantling trading barriers with blockchain. ,2022-05-02
7,Resolution primary objective of IBC; but need to be mindful of recovery too: SBI MD Swaminathan J. HDFC raises home loan rate by 5 basis points for existing customers. ,2022-05-01
8,"Aditya Birla ARC, Arcil among companies eyeing SBI's KSK Mahanadi loan. A few old private sector banks may look like convenient acquisition targets. But that may not be easy. ",2022-04-30
9,"Merger with private bank, NBFC proposed at IDBI Bank roadshows. Two government nominee directors join board of IDBI Bank. Bank credit likely to grow at 4-year high of 11-12% in FY23: Report. Vishu Ramachandran to Join as Chairman of GoPik Connect. Non-food bank credit grew 9.7% in March: RBI data. ",2022-04-29
10,"HDFC Bank plans car loan disbursal in 30 minutes in online push. Things to know before investing in Short-Term Income Funds.. Indian Bank unveils pre-approved personal loan under Project WAVE. RBI modifies norms for banks on short term crop loan scheme. Yes Bank scam: CBI arrests Radius Group MD, Sanjay Chhabria. ",2022-04-28
11,"Guarantees, LoCs to group companies will now have taut strings. Cabinet approves Rs 820 cr financial support for India Post Payments Bank. Jeevandas Narayan & Kalmanje Gururaj Acharya appointed to Karnataka Bank board. YES Bank approaches NCLT to admit Zee Learn under the insolvency resolution process. Assam Gramin Vikash Bank posting net profit after a gap of 5 years. ",2022-04-27
12,Auto-debit bounce rates for loan EMIs inch up in March. Union Bank rolls out automated solution to monitor stressed loans. Investment advice for millennials. NBFC 'third party lending' set to come under auditors' scrutiny. ,2022-04-26
13,"Airtel Payments Bank revenue seen rising to Rs 7,650 cr by 2030. Banks seek formal NPCI note on crypto UPI curbs. Delhi HC stays Punjab & Sind Bank from taking further action on Srei. New CEO Vishakha Mulye will have to rebalance ABCL portfolio to extract synergies. RBI imposes Rs 1.12 crore penalty on Bank of Maharashtra. Yes Bank files plea for insolvency proceedings against Zee Learn. Credit push: State-run banks told to collaborate with startups, fintech cos. ",2022-04-25
14,Six working groups set up to suggest ways to improve functioning of PSBs to submit report by Dec. ,2022-04-24
15,"Banks putting more of surplus funds in commercial papers as rates rise. Axis Bank turns down plan to distribute Sintex sale proceeds. Yes Bank-DHFL case: Rana Kapoor, Kapil and Dheeraj Wadhawans laundered money worth Rs 5,050 crore, says ED. ICICI Bank's Vishakha Mulye to join Aditya Birla Capital as CEO. ",2022-04-23
16,"RBI, Bank of Russia officials discuss payment options. BoB slashes home loan interest rate to 6.5 pc for limited period. DFS Secretary asks banks to soar up balancesheet; raise capital from market. ",2022-04-22
17,"Reliance ARC buys distressed loans from IOB, Jana SFB. NBFCs can't undertake credit card biz without prior approval: RBI. HDFC Bank to open 150 branches in UP this year; to create 1,000 jobs. RBI issues new rules, penalties for credit & debit cards. Bank credit grows by 10.09 pc; deposits by 10.06 pc. ",2022-04-21
18,"PSU bosses may be exempted from submitting passport info to banks. IBBI proposes tweaks in rules to reduce delays in corporate insolvency process. Chinese banks continue to dominate; ICICI latest Indian entrant among top banks in APac. RBL finalises next MD; seeks RBI approval. IDBI Trustee allows vote in RHFL after Bombay HC go ahead. Fino Payments Bank receives RBI nod to offer partner bank's FD, RD services. ",2022-04-20
