,Headlines,Date
0,FM Sitharaman on RBI rate hike: Timing a surprise to many … but people thought should’ve been done anyway. ,2022-05-08
1,‘Rate cycle U-turn: RBI may go for more’. ,2022-05-05
2,"RBI raises CRR by 50 bps to 4.5% from May 21. Full text: RBI Governor Shaktikanta Das’s surprise statement on lending rates, economy, inflation. RBI hikes repo rate: Highlights of Monetary Policy Committee meeting. ",2022-05-04
3,"HDFC Q4 net rises 16%, record monthly disbursements in March. Neobank Open 100th Indian unicorn; IIFL leads $50-mn funding. ",2022-05-03
4,"Bank holidays in May 2022: Here is the list of holidays. HDFC hikes rates for existing borrowers, EMIs set to go up. ",2022-05-02
5,"To plug support package loopholes, Nabard plans farmer distress index. ",2022-04-29
6,ICICI Bank launches digital ecosystem for MSMEs. ,2022-04-28
7,"Fixed Deposit (FD) Interest Rates 2022: Here’s what these banks are offering, check here. Five financial habits to become a more disciplined investor in 2022-23. ",2022-04-25
8,‘Near 100% festive growth in personal loans over 4 years’. ,2022-04-22
9,HDFC set to sell 10% in HDFC Capital. ,2022-04-21
10,"Opening current, cash credit/OD accounts: Banks’ scope widened. ",2022-04-20
11,"Poonawalla Fincorp partners with KrazyBee to enter digital consumption loans space. FM Sitharaman for regulating crypto at global level to check money laundering, terror funding. ",2022-04-19
12,"HDFC Bank Q4 net up 22.8% on better asset quality, higher interest income. ",2022-04-17
13,"Co-operative banks in Kerala reel under bad loans, NPAs crossed 38% at end of last year. ",2022-04-30
14,"UPI spreads, but with banking access limited, friendships foster. Kotak Mahindra Bank staffer arrested over ‘cheating’ allegations. Three reasons why you should check your credit score and credit report regularly. Bank of Baroda hikes MCLR across tenors by 0.05%. ",2022-04-11
15,"Reverse repo out, SDF in: RBI’s new liquidity absorbing tool. ",2022-04-09
16,"Digital banking unit norms: 24×7 operations, in tier 1-6 centres. ‘CBDC launch in calibrated, nuanced manner’. Card-less cash withdrawal facility across all banks’ ATM network soon: RBI. ",2022-04-08
17,HDFC Bank to raise Rs 50K crore in 12 months. Bandhan consortium to buy IDFC mutual fund biz for Rs 4.5K crore. ,2022-04-07
18,"Retail investors can bid up to Rs 5 lakh for IPOs using UPI: Sebi. MPC meet: Analysts bet on rate retention, revision of forecasts. ",2022-04-06
19,"HDFC-HDFC Bank merger: Harmonisation of bank-NBFC rules enabled merger, says Chairman Parekh. India Inc’s biggest merger: Merged HDFC entity to overtake TCS, second only to RIL. HDFC-HDFC Bank merger: Inner circle of 7 kept deal under wraps until end. ",2022-04-05
20,"Banks violate Irdai norms, sell insurance policies above Rs 5 crore, claim brokers. ",2022-04-04
21,Mutual fund account pooling: Jul 1 new deadline. ,2022-04-03
22,Bank holidays in April 2022: Here is the list of holidays. Credit offtake rises 8 per cent in February. ,2022-04-01
23,"Mutual fund schemes: Sebi brings in timelines for rebalancing portfolios. Axis to get Citi’s 1.2 million retail customers. Axis Bank acquires Citibank’s India consumer business for Rs 12,325 crore. Interest rates on small savings schemes unchanged for first quarter of FY23. ",2022-03-31
24,"Weaknesses in compliance, audit among lenders: RBI. Axis Bank set to buy Citi’s India consumer business; deal to be announced soon. Axis Bank to acquire Citi’s India consumer business for $1.6 billion. ",2022-03-30
25,Banks robust as Modi govt acted  against NPAs unlike UPA: Nirmala. ,2022-03-29
26,Cash with public at new high this fiscal even as digital payments rise by a third. ,2022-03-28
27,Finance Bill: Crypto losses can’t be set off against gains. ,2022-03-26
28,Indian banks avoid Russia entities on West blacklist. ,2022-03-25
29,HDFC home loan approvals cross Rs 2 lakh crore in FY22 so far. ,2022-03-24
30,ICICI Bank launches co-branded credit cards with Emirates Skywards: Here’s what you need to know. ,2022-03-15
31,"US majors still dominating cards, payments ecosystem; homegrown companies gain ground. ",2022-03-14
32,All you need to know about mutual fund schemes that offer insurance covers. ,2022-03-10
33,RBI launches UPI123Pay that allows UPI payments on feature phones. ,2022-03-08
